business_name,inspection_score,Year,NumberofLocations,Weekend
MCGINLEYS PUB,94,2017,9,False
VILLAGE INN #1,86,2015,66,False
RONNIE SUSHI 2,80,2016,79,False
FRED MEYER - RETAIL FISH,96,2003,86,False
PHO GRILL,83,2017,53,False
TACO KING #2,95,2008,89,False
AJ'S RIB-A-GO-GO,94,2017,28,False
MT SPURR SCHOOL,100,2005,37,False
RAY'S PLACE LLC,92,2007,109,False
SOUTHSIDE BISTRO,91,2005,59,False
TACO BELL #18131,98,2015,45,False
NEW ASIA RESTAURANT,94,2015,32,False
JOJO'S HYPER BEAN LLC,96,2017,11,False
MULDOON ELEMENTARY SCHOOL,100,2006,40,False
SWEET PINK PEPPER,92,2001,154,False
KING CAREER CENTER EARLY CHILDHOOD,100,2008,25,False
CHILD'S EARLY LEARNING CENTER,91,2006,29,False
BURGER JIM #1,88,2009,101,False
EMBASSY SUITES - SPA,100,2017,12,False
HUMPY'S SUB-ZERO,93,2016,38,False
DRAGON RESTAURANT,85,2016,191,False
FIORI D'ITALIA,92,2007,39,False
"ALASKA CLUB SOUTH, THE",100,2008,54,False
EAST HIGH SCHOOL/P & R,100,2000,18,False
SAND LAKE ELEMENTARY SCHOOL,100,2015,19,False
GALLO'S LOUNGE,94,2007,32,False
BRIGHT BEGINNINGS EARLY LEARNING,89,2007,134,False
BENSON SECONDARY SCHOOL,100,2009,43,False
ESPRESSO ESPRESSIONS CAFE & EATERY,90,2009,110,False
DIMOND HIGH SCHOOL,100,2003,34,False
SHRIMP GUYS SEAFOOD #2,100,2015,8,False
SOUTHSIDE BISTRO,94,2007,59,False
BEAR MOUNTAIN GRILL,99,2000,81,False
5TH AVENUE DELI,86,2007,70,False
CAPONE'S PIZZA,91,2006,61,False
LOS ARCOS RESTAURANT-BAR,100,2007,13,False
BPX EXPLORATION CAFE,93,2008,43,False
BURGER JIM #1,81,2007,101,False
CROWNE PLAZA HOTEL/JUNO,82,2017,59,False
ORIENTAL GARDEN,82,2016,23,False
FRED MEYER - BAKERY,100,2007,88,False
"HEALTH COURT FOODS, INC.",100,2017,5,False
PEKING WOK,72,2009,271,False
PEKING WOK,83,2009,271,False
BRIGHT BEGINNINGS ELC-EAGLE RIVER,100,2015,69,False
SULLIVAN ARENA N E,100,2007,19,False
NEW SAGAYA MIDTOWN MARKET - DELI,82,2006,87,False
GINGER,94,2017,58,False
SUBWAY STORE #23885,98,2016,26,False
MOUNTAIN VIEW ELEM SCHOOL,100,2007,45,False
ARCTIC ROADRUNNER #2,91,2017,36,False
PEGGYS RESTAURANT,87,2007,86,False
VILLAGE INN #1,90,2006,66,False
EAGLE RIVER ELEMENTARY SCHOOL,100,2003,35,False
DRAGON RESTAURANT,91,2007,191,False
PROVIDENCE HOSPITAL KITCHEN,100,2007,42,False
VILLAGE INN #2,96,2004,81,False
EMBASSY SUITES - POOL,100,2017,11,False
HUFFMAN SCHOOL,100,2000,37,False
COZY MARKET,100,2017,6,False
SUBWAY OF ALASKA #14372,98,2009,62,False
BELLA VISTA,98,2001,56,False
UNCLE JOE'S PIZZERIA #4,98,2006,40,False
ROMANO'S BAR,100,2000,20,False
TEXAS ROADHOUSE - BAR,100,2015,11,False
H2OASIS ALASKA TUB,100,2008,58,False
ANCHORAGE CORRECTIONAL FACILITY WEST,93,2016,58,False
CENTURY THEATRE,100,2006,31,False
HOLIDAY STATIONSTORE #607 SNACK,93,2009,39,False
CARRS #1807 - SERVICE MEAT,100,2000,27,False
GORSUCH BOY SCOUT CAMP,92,2006,34,False
SICILY'S PIZZA,90,2016,323,False
CARRS #1817 - BAKERY,91,2003,45,False
BASKIN ROBBINS,95,2016,75,False
PEKING WOK,100,2015,271,False
HILAND MOUNTAIN CORRECTIONAL CTR,86,2008,51,False
CARRS #1802 - DELI,90,2004,56,False
LAKE HOOD ELEMENTARY,100,2007,36,False
BABYCAKES,100,2017,5,False
UAA - BEAR NECESSITIES,100,2015,13,False
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,False
TRAILSIDE ELEMENTARY SCHOOL,100,2004,38,False
MCDONALD'S,100,2000,646,False
DARWINS THEORY BAR,95,2009,15,False
BUSH COMPANY #2,87,2016,32,False
DON JOSE'S MEXICAN RESTAURANT,94,2000,140,False
LAHN PAD-THAI RESTAURANT,96,2008,102,False
FAIRFIELD INN & SUITES - HOT TUB,100,2007,28,False
TWIN DRAGON,76,2007,127,False
RAINBOW VIDEO & ORIENTAL STORE,99,2000,17,False
KOBE TEPPAYAKI HOUSE,84,2019,151,False
FRED MEYER - DELI,93,2005,189,False
SPARE ROOM (HAROLD'S),89,2007,30,False
MEKONG RESTAURANT,86,2007,86,False
F STREET STATION,93,2005,30,False
FAITH DAY CARE & LEARNING CENTER,96,2008,43,False
HUMPY'S GREAT ALASKAN ALEHOUSE,98,2006,78,False
CAMP FIRE - ABBOTT LOOP,94,2002,32,False
SUBWAY OF ALASKA #4803,99,2007,53,False
SILVERTIP GRILL,73,2005,62,False
K STREET CONVENIENCE-DELI,100,2015,11,False
HULA HANDS RESTAURANT,86,2007,181,False
LUIGI'S PIZZA,79,2009,117,False
SILK RESTAURANT,85,2017,35,False
APA GROCERIES,93,2001,47,False
SIDE STREET ESPRESSO,98,2008,16,False
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,False
WESTMARK - SOLSTICE CAFE,93,2005,47,False
SHRIMP GUYS SEAFOOD #2,100,2017,8,False
RONNIE SUSHI 2,91,2016,79,False
ICHIBAN RESTAURANT,86,2008,125,False
H2OASIS INDOOR WATERPARK RESTAURANT,100,2005,95,False
HEARTH ARTISAN PIZZA,92,2017,21,False
MCDONALD'S,87,2009,646,False
ORGANIC OASIS HEALTH FOODS,85,2008,96,False
DING HOW RESTAURANT,87,2017,196,False
CHUGIAK HIGH SCHOOL,100,2007,42,False
CARRS #1812 - ORIENT EXPRESS,97,2017,34,False
THAI SIAM RESTAURANT,81,2015,56,False
"PERFECT CUP PLUS, THE",81,2009,91,False
KALADI BROTHERS COFFEE - DOWNSTAIRS,95,2009,30,False
L'AROMA BAKERY & DELI - RESTAURANT,87,2015,161,False
NORTHERN LIGHTS ABC SCHOOL,100,2006,36,False
HARLEY'S OLD THYME CAFE,97,2017,5,False
BAXTER ELEMENTARY SCHOOL,100,2006,38,False
JAVA THE HUT,81,2009,79,False
LUIGI'S PIZZA,88,2016,117,False
CARL'S JR RESTAURANT,90,2017,254,False
FRED MEYER - DELI,95,2017,189,False
KALADI BROTHERS COFFEE,95,2007,99,False
SPRING HILL ELEM CAFETERIA,100,2008,37,False
ANCHORAGE COMMUNITY YMCA - POOL,100,2005,53,False
CARRS #1807 - GROCERY,93,2001,36,False
CARRS #1805 - GROCERY,94,2008,42,False
NORDSTROM - CAFE EXPRESS,93,2007,38,False
UAA - CUDDY CENTER,94,2005,57,False
HANSHEW MIDDLE SCHOOL,100,2007,40,False
HUMPY'S GREAT ALASKAN ALEHOUSE,90,2002,78,False
BRIGHT BEGINNINGS ELC-EAGLE RIVER,95,2015,69,False
MEKONG RESTAURANT,82,2007,86,False
ANCH HILTON - HOOPER BAY,88,2008,76,False
WENDY'S #1,99,2003,63,False
TACO BELL #2181,100,2009,35,False
5TH AVENUE DELI,88,2007,70,False
VIP DBA YOUNG BIN RESTAURANT,90,2004,115,False
CARRS #520 - GROCERY,95,2001,36,False
CHILDREN'S WORLD,88,2008,58,False
BRADLEY HOUSE,98,2004,54,False
JOY CHILD DEVELOPMENT CENTER,98,2006,38,False
KINLEY'S RESTAURANT & BAR INC,98,2002,71,False
SIMON & SEAFORTS,88,2006,74,False
AFC SUSHI #71 @ FRED MEYER #71,100,2006,28,False
ANCH HILTON - HOOPER BAY,90,2006,76,False
POLAR BAR,93,2009,28,False
JALAPENOS MEXICAN RESTAURANT,82,2016,104,False
KALADI BROTHERS COFFEE - DOWNSTAIRS,91,2015,30,False
PTARMIGAN ELEMENTARY SCHOOL,99,2000,39,False
H2OASIS ALASKA TUB,100,2009,58,False
GALLO'S MEXICAN RESTAURANT,79,2018,274,False
CARRS #1813 - SALAD BAR,95,2002,52,False
ANCHORAGE COMFORT INN SNACKBAR,93,2003,41,False
PIZZA OLYMPIA,95,2004,69,False
BENNY'S FOOD WAGON,97,2017,77,False
BLUE LINE PUB,89,2003,45,False
VFW POST 9785,93,2004,50,False
SNO FLO LLC,90,2018,9,False
